OBJECTID,KOMMENTAAR,PILT,KUUPAEV,TYYP,NUMVOTES,GlobalID,PildiLink,CreationDate,Creator,EditDate,Editor,lon,lat
27,lahtine kruus -terve lõik Suur Rannavärava -Suurtüki tn,,1534948774000,1,,3553565e-ae6c-4f1f-b3bc-20ac0c55bf75,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7454311967475,59.4442449130521
29,Sõpruse puiestee ületamine väga aeganõudev. Tuleb sõita ca 300m Sõpruse ärimaja eest ringi ning oodata mittekattuvate fooritsüklite tõttu mitu minutit.,,1535013129000,2,,16a8fd18-6779-497e-a16c-7d9943a309f7,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7103191278535,59.4162235816732
31,Kogu ristmikul väga kõrged äärekivid (5cm+),,1535013129000,0,,c3c2c520-5d10-4e97-9a8b-9448cd6189d9,https://services3.arcgis.com/FwX2qF9JecNSRnwr/arcgis/rest/services/rattateede_andmekorje_punktid/FeatureServer/0/31/attachments/7?token=,1539347645000,TallinnGIS,1539348055000,,24.7045653428412,59.4290221109755
32,Ekstreemselt kõrge äärekivi + auk - üks pilt ütleb rohkem kui tuhat sõna :),,1535013129000,0,,b060f13e-2490-42c2-bdf1-6036f2acda8f,https://services3.arcgis.com/FwX2qF9JecNSRnwr/arcgis/rest/services/rattateede_andmekorje_punktid/FeatureServer/0/32/attachments/8?token=,1539347645000,TallinnGIS,1539348056000,,24.7081056154696,59.4286887698931
33,,,1535014284000,1,,8813f6ed-6b7c-4faf-a1fb-93af4742f6f2,https://services3.arcgis.com/FwX2qF9JecNSRnwr/arcgis/rest/services/rattateede_andmekorje_punktid/FeatureServer/0/33/attachments/9?token=,1539347645000,TallinnGIS,1539348057000,,24.7077777162176,59.4286196893601
34,puudub rattatee t2histus,,1535039760000,2,,c01e3abf-cb72-497a-aec8-818f6cf72ad2,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7590724141985,59.4176566430096
35,Vajab t2iendavat piiret v6i korrektsemat vormistamist,,1535040121000,2,,c6c302eb-351e-4244-97d2-8e84ac68ebb1,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7532347804586,59.4168977298586
38,"Märk rattateel, küngas kitsal läbipääsul, ajutine seoses teetöödega",,1535118424000,1,,171ccf9f-7bd0-4fcc-a602-00b33dee414e,https://services3.arcgis.com/FwX2qF9JecNSRnwr/arcgis/rest/services/rattateede_andmekorje_punktid/FeatureServer/0/38/attachments/10?token=,1539347645000,TallinnGIS,1539348059000,,24.7453047,59.4304157
40,Asfaldikate on kulunud.,,1535527292000,1,,63925f5c-9e67-4c0f-a665-ce2ddd0d657e,https://services3.arcgis.com/FwX2qF9JecNSRnwr/arcgis/rest/services/rattateede_andmekorje_punktid/FeatureServer/0/40/attachments/11?token=,1539347645000,TallinnGIS,1539348060000,,24.7436629,59.4453508
45,Antud punktist 90 m edelasse pole mingit rattarada olemaski!,,1535718868000,2,,d70f9024-d273-4a9c-b15e-c9f949b54d70,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7070145228636,59.4031124317746
46,"Antud punktist 110 m kirdesse pole rattarada olemaski, mis kaardil näidatud justkui on.",,1535718869000,2,,897e15f9-532f-4754-8264-2e3230ce2404,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7062912046069,59.4021472635751
47,"Trepp, mis ei lase rattaga kõnniteel sujuvalt sõita neil, kes ei julge sõiduteel sõita.",,1535718950000,1,,334d90ef-8d17-4029-bac3-432b0720fb31,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7428826405339,59.4217492787011
48,Siit ju sõidetakse rattaga mööda sõidutee äärt edasi. Rattafoorki on olemas edasi minnes järgmisel ristmikul.,,1535718869000,2,,79168b7e-8723-489e-98fc-d1f67a29b0e8,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7308820981758,59.4044255121072
49,"Siin võiks olla ka legaalne viis saamaks sõidutee äärest kergliiklusteele. Ehk kui tulla mööda Pärnu mnt-d sõidutee äärest, siis on ohtlik ja mittelegaalne saada kergliiklusteele.",,1535718869000,2,,9720a808-aed4-475e-a17e-73e4ad909cac,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7280269915697,59.4013845387339
50,"Äärekivid + ohutussaar tee vahepeal takistab sujuvat liiklemist jalgrattaga neil, kes ei sõida sõiduteel",,1535718950000,0,,eb9520ee-af79-4bc3-811c-33a60c9e449f,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7413037715729,59.4176285529133
51,"Äärekivi on küll lihvitud 45-kraadise nurga all, kuid endiselt liiga kõrge.",,1535718869000,0,,80ecf2a3-5547-472a-babd-ec876145697c,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.6741977630086,59.3926733222111
52,"Siin võiks olla autojuhtidele ""peatu ja anna teed"" liiklusmärk koos lisatahvliga ""jalgratturile teeandmiskoht"". See hoiaks ära nii mitmedki ohud, sest autoga Üliõpilaste teelt tulles on nähtavus kergliiklusteele põõsaste jm tõttu häiritud.",,1535718869000,2,,c7b811fa-fbd1-4318-8bf2-8546868fd9c2,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.6741394426328,59.3926676833628
53,"Potentsiaalselt ohtlik lõik jalgratturi jaoks, sest siin puudub eesõigus kergliiklejal. Kuna sõiduteel on koormus väike, võiks selguse huvides olla sõiduteel ehk Künka tänaval ""peatu ja anna teed"" märgid enne kergliiklusteega ristumist.",,1535718869000,2,,c7d9e975-6e7b-4e9d-952c-004060733e2b,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.6956372139822,59.3907192625746
54,"Väga halb äärekivi, mis põrutab jalgratast.",,1535718869000,0,,0e486e4b-a27e-4f92-8dcc-973c75e9625e,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.6960845628055,59.4199013525997
55,"Punktiga märgitud kohas on väga ebaselge, kas jalgrattur peab liiklema kõnniteel või mahapööramisesõidureas. Liikluskorralduslikult segane koht jalgratturile.",,1535718869000,2,,29157cd3-88d9-4cac-b384-ae6abc80f5f5,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.6959562778891,59.4197809002902
56,Kõrge äärekivi kergliiklusteel.,,1535718869000,0,,c8bee502-8dbb-4484-82a6-8ee225f36240,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7175845869852,59.3867081997781
57,Kõrge äärekivi kergliiklusteel.,,1535718869000,0,,434b4ffc-0990-48a3-beea-0c409ddb9f41,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7173288150819,59.3847239692378
58,"Torutõkked võtavad enda peale kogu tähelepanu, et kudias läbi sõida. See pärsib tähelepanu osutamist raudteele, et rongi ei tuleks.",,1535718869000,2,,47593e26-3a6e-42d6-bad0-44f992e6372b,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7363988916974,59.404028271696
59,"Sõidueesõigus tuleb anda kergliiklejale, mitte Tuleraud tn liiklejale.",,1535718869000,2,,2cdc7aec-567d-4d90-92cb-5a16b9ce82c3,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.6209532128185,59.4326663990898
60,"Sõidueesõigus tuleb anda kergliiklejale, mitte Tulekivi tn liiklejale.",,1535718869000,2,,6e9463bb-1cd9-487f-a223-d6e6c9446e16,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.6240391574341,59.4300914767101
61,Kõrge äärekivi.,,1535718869000,0,,5796df79-c016-4af6-9bf1-71e0aa35f328,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7262459085264,59.3981784788197
62,Nähtavus on piiratud nii jalgratturitel kui autojuhtidel.,,1535718869000,2,,dcd6021c-9a72-4f54-a8aa-03a23478dc0c,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.643755243041,59.4057433457472
63,"Tee on kitsas, sest liikluskorralduse järgi vaid jalgratturitele mõeldud teeosale kipuvad ka jalakäijad, kes ei blokeerivad vahest terve tee ära. Muuliäärne kõnnitee kiviplaadid tuleb ka asfalteerida. Siis saab lõpuks jalakäijad ja jalgratturid lahku",,1535718869000,2,,01debea2-a964-43b6-a124-26d717ec0b6f,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.803821581628,59.4490975292562
64,Kõrge äärekivi ülekäigurajal. Pakun 10-15cm.,,1535720334000,0,,3f8c0d7e-e151-4a9d-abef-37fd3284e654,https://services3.arcgis.com/FwX2qF9JecNSRnwr/arcgis/rest/services/rattateede_andmekorje_punktid/FeatureServer/0/64/attachments/14?token=,1539347645000,TallinnGIS,1539348069000,,24.7380136009454,59.4440698321544
65,Kõrge äärekivi.,,1535718869000,0,,7deef540-4fa6-4ad4-a6b7-a3908f36ce99,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.6451687713155,59.3966569697274
66,"Ebamugava kujundusega ülekäik. Balti Jaama poolt tulles peale tee ületust ja Niinele pöörates peab jalakäija, laps rattaga tegema sisuliselt U-pöörde paremale. Madaldusega äärekivi on ainult võrdlemisi väike lõik ülekäiguraja vasakus servas.",,1535720334000,2,,5f5b9aef-04de-4dcd-ae11-799fba5c0005,https://services3.arcgis.com/FwX2qF9JecNSRnwr/arcgis/rest/services/rattateede_andmekorje_punktid/FeatureServer/0/66/attachments/15?token=,1539347645000,TallinnGIS,1539348070000,,24.7382499482714,59.4443238314579
67,Kõrge äärekivi.,,1535718869000,0,,43e726d8-db50-49f6-898d-8b9872424027,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.6917948284157,59.4157347882438
68,"Asfalt kulunud, auke täis.",,1535720635000,1,,7307dce9-3dc5-4d3a-90be-c33973a504f5,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7374397879535,59.4104458610054
69,Kõrge äärekivi.,,1535718869000,0,,4b2dd1e5-432c-4afe-bf77-0771fcb0490c,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.685888783336,59.408999334768
70,Kõrge äärekivi.,,1535718869000,0,,f8c2782e-408b-481e-9d9e-88b3bdb015ea,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.6904205444981,59.4137703562599
71,Tee on kohati ebatasane.,,1535718869000,2,,7e521de9-cbe8-4b06-bc84-cab6b0912963,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.6892230467265,59.4415032372126
72,Raudteesillal on silla ja tammi piiril ebatasasus.,,1535718869000,2,,2421f54a-f1e1-4b99-b166-fa972596e0df,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7096607835346,59.3904635687981
73,Tee ületamiseks lubava fooritule ootamine peale nupuvajutust on ebamõistlikult pikk. Tuld ei jälgita ja see põhjustab ohtlikke olukordi.,,1535721321000,2,,4b0826c9-f3e3-41a2-9f8a-6eb2ac8da5f4,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.8013317196581,59.4118617329499
74,Kõrge äärekivi.,,1535718869000,0,,1f200a5b-03e5-49f2-be6e-a6f58a036049,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7044475161955,59.4293770359399
75,Üks ohtlik kitsaskoht.,,1535718869000,2,,b457fbd6-0841-477b-b89d-0ff23e476b5b,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7068807265776,59.4300419908147
76,Väga ohtlik koht bussipeatuse juures.,,1535718869000,2,,135f398c-0312-4c00-98ce-58e5d60b6023,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.70648195975,59.4299206257268
77,"Lapsevankrid ja jalgrattad ühel alal - väga ohtlik kombinatsioon kõigile! Ehk ei ole betoonplaadid kõige parem lahendus jalakäijale, lapsevankrile?",,1535721586000,2,,916bcd4a-d9c2-4b0f-8add-921619dad612,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.8017756575872,59.447674266942
78,Väga kõrge äärekivi. Madalan möödapääs tihti kinni pargitud,,1535721632000,0,,764e4d57-24ca-42ab-94b9-90ebe8d00aef,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7065293907402,59.4291273967338
79,Kõrge äärekivi,,1535721633000,0,,b499a13b-a317-4073-a6ab-0e035dd2e730,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7058616095114,59.429297236324
80,Kõrge äärekivi,,1535721633000,0,,7cb8a12d-786c-4abe-98d3-5d40cb7b8e86,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7050733277223,59.4290496990747
81,Terves ulatuses ülekäigul kõrged äärekivid,,1535721633000,0,,4adffa69-2a0a-4898-897a-e40baa202a1d,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7069072116494,59.4298141496792
82,"Liiklusmärkidega on kehtestatud, et merepoolne tee jalgratturitele ja teepoolne jalakäijatele, kuid märke ei vaadata. Valesti kaardistatud.",,1535721872000,2,,dd98e4e9-8c80-460e-944a-0d82c77b6e24,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.6546662952321,59.4293443981679
83,"Kuidas see lõik saab olla kaardistatud kergliiklusteena, kui liiklusmärk lubab vaid jalakäijaid?",,1535721872000,2,,0d16c66d-1bb5-41e6-9f2d-59d7f3fa4cb5,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.6549296859378,59.4289796995303
84,Äärekivi on kõrgem kui 3 cm,,1535721949000,0,,f8bfa053-3f3d-443b-9fd9-deb63b584f96,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7358262495057,59.4465581161362
85,"Väga ohtlik lõik Lepiku teest kuni Pärnamäe teeni, lausa kriminaalne lahendus planeerijalt. Kõrge hekk, kitsas kergliiklustee, palju ristumiskohti hoovialadega, puudvad liiklust rahustavad lahendused, puuduvad kõverpeeglid jms. Nimekiri on lõputu!",,1535721586000,2,,36c594ef-12fd-4ac3-9bb9-08e78fa2c64c,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.8843276705811,59.4726099275188
86,Liiga kitsas ohtussaar. Ei mahu rattaga ära.,,1535721633000,2,,6ae44a26-f81a-4d10-b407-499c4ec10ba5,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7201153492004,59.427662027309
87,"Milleks torud kergliiklusteele? Pange need rikkuritele, et nad ei kihutaks oma kuningriigist välja!",,1535721872000,2,,75f7727a-826b-4647-840d-67002fd2d622,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.6127665838522,59.4448261223566
88,"Terve Pirita keskuse ala on häbiplekk kergliikluse seisukohast, olgem ausad. Puuduvad ühendused, kõrged äärekivid, ümbersõidud, kergliiklusevaenulikud foorid jpm.",,1535721586000,2,,7a3f98ee-6378-4e27-9ac9-8cc849fdf932,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.8338480492769,59.4678000107582
89,"Milleks torud kergliiklusteele? Pange need rikkuritele, et nad ei kihutaks oma kuningriigist välja!",,1535721872000,2,,805d7786-940d-42b8-82e4-af94c4711e68,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.6207806919711,59.4413257504733
90,"Ristmiku keskel asuva liiklussaare keskel on laternapost. Sellest saaks kenasti mööda, kui Kalamajast linna suundudes oleks madal äärekivi poolteist meetrit laiem kui praegu.",,1535722031000,2,,2fadce7d-6b1a-4e1e-ae56-6327f559443a,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7440836644371,59.4444885894074
91,,,1535721670000,0,,a84e545d-e640-4a76-987f-511d0a7323e3,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7690373537188,59.4351762611354
92,Kõrge äärekivi,,1535721633000,0,,e3fe0b53-dede-48d4-bbad-589dcc34f747,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7311458060392,59.4283248540882
93,Kõrge äärekivi,,1535721872000,0,,e852b2d6-58f9-416c-a1b1-a5a9f25e1dcd,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.6623183614633,59.4118218312465
94,Mõlemal pool teed on äärekivi kõrge.,,1535722031000,0,,347350de-93d1-4ff5-8dda-a54494f4ad47,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7543191612417,59.4353273079303
95,Liiga kõrge äärekivi.,,1535722031000,0,,88222cc4-63ce-443a-abe3-e7ed68f27c31,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7562569722937,59.4337727123819
96,Siin on jalgrattahoidja. See on tore. Aga PALUN tehke sinna pääsemine lihtsamaks kui praeguse 15 cm kõrge äärekivi ületamine.,,1535722031000,2,,6c235574-14a4-4468-97db-489209f3186d,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7580200052382,59.433801763847
97,Kas selle eluohtliku lõigu asemel ei võiks kergliiklust suunata järgmisele trassile: Suurtüki - Laboratooriumi - Lai - Pikk tn?,,1535721586000,2,,2625207e-9903-4aa6-bc49-fc8a1dba6dd1,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7458689350318,59.4419541578636
98,"Vaadake, kui palju inimesi siin Maakri tänavale läheb. Palun tehke siia lamav politseinik ja selle peale ülekäigurada. Praegu toimub anarhia ja EI, MITTE KEEGI ei kasuta inseneride välja mõeldud lahendust ehk minna ringi ja seista foori taga.",,1535722031000,2,,76a27dbd-a090-4aa8-b9c6-0527b90d2a21,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7588494175769,59.4334310701071
99,,,1535722031000,0,,c79eca74-02ed-4172-b60a-ae3e552fb7f1,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7589001228952,59.4336148499521
100,Rattatee puudub,,1535722437000,2,,11f97d3f-27b0-4a91-a73e-ce3842ae22c2,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7209070086644,59.4337206439374
101,Mõlemal pool teed.,,1535722031000,0,,59c4d1d6-0acd-4597-b04e-33e79cd8ee4c,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7597451,59.4326624
102,Mõlemal pool teed.,,1535722031000,0,,17a77eee-0b48-4e24-8ca4-2befccf37cbe,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7690770827976,59.4358434996621
103,Vana-Kalamaja lõik Tööstusest kuni Soo tänavani võiks olla kergliiklusele kahesuunaline. Seda lõiku kasutatakse kahesuunalisena nii ehk naa ja see on väga tavaline praktika mujal maailmas.,,1535721586000,2,,1efdd4f0-e1e7-4973-959e-8d02fc390098,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7384068078233,59.4449508396709
104,Mõlemal pool teed.,,1535722031000,0,,e7f3d8e1-773d-4ebe-bf00-6b0aedd06e6d,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7694372839124,59.4361026591814
105,Rattateee puudub,,1535722437000,2,,446236f1-570c-4aab-ba09-9f7ddab4f9ec,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7324636748262,59.3906865582973
106,"Sõites siit Balti jaama on see kõige siledam teekond, ent siin on kõrge äärekivi.",,1535722031000,0,,0b224c22-513b-484f-ba4e-46bcaf4129c1,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7449617445894,59.4371078613208
107,"Sõites Balti jaama on see kõige siledam tee, aga siin on ka kõrge äärekivi.",,1535722031000,0,,724f51de-5262-4508-a46d-87e338bc36b9,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7446541897803,59.4371167262379
108,Tee lõppeb ära :(,,1535721872000,2,,4aa5640e-cccb-439c-8df1-4d6381bd69c7,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7784385190456,59.4235614072376
109,Mina rikun liikluseeskirja. Sest kõniteel on inimesed ja jalgrattaga lennata ei oska. Aga kuidagi pean Balti jaama ju saama. Tehke ratastele kahes suunas sõidetavaks.,,1535722031000,2,,06173e75-f452-4c41-8d50-76ffe15824cd,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7429762148207,59.4382187566932
110,"Terve Viru tänava siledad graniitplaadid on ära rikutud vihmaveerennidega. Sealt on ilgelt halb üle sõita, lisaks teeb see ratastoolis liikujate elu samuti vastikuks. Palun vahetage need rennid välja selliste vastu, mis ei põruta.",,1535722031000,2,,e986a7e5-e5f3-4cb3-bd20-b8f8b5417008,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7482083129273,59.4367379372365
111,"Rattatee, kus on ebakindel, sest rekad riivavad küünarnukki. Aga olgu. MIKS see rattatee SUVALISES kohas ära lõpeb? Kas ma pean edasi lendama või? PALUN pikendage seda vähemalt foorini. Minge sõitke ise seal korra.",,1535722031000,2,,7ffae67d-c2c6-49e0-ae46-d1831768b065,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7237117608153,59.4333097564713
112,"Mis tunne sul on, kui sa jääd auto ja äärekivi vahele? PALUN tehke nii, et ma ei peaks autoga ellu jäämise nimel võitlema. Las autod sõidavad omasoodu ja ratturid eraldi. See on ratturile hirmu sisendav koht, sest ma ei tea, mida autojuht teeb.",,1535722031000,2,,53f9b6a0-de36-4464-b0d0-e903ab5f451f,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7597112,59.4326779
113,"Jalgrattur võib jääda auto ja äärekivi vahele. See sisendab ratturisse hirmu ja ebakindlust. Pigem jään seisma ja ootan, et autod mööda sõidaks. MIKS te nii inimesi kiusate? Palun tehke ringi nii, et ei peaks autodega konkureerima.",,1535722886000,2,,3322e3cc-f69d-405b-a8ab-f064dae76df6,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7251149245584,59.4295238778836
114,Liiga kõrge.,,1535722886000,0,,5c0aa8b0-f9fa-44ef-9d84-a8946a4ab80f,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7098548981689,59.4164119823923
115,"Ma lähen siit nagunii üle. Sest siit on OTSEM. Palun tehke siia ülekäigurada, kõik inimesed ei armasta ringide tegemist, eriti kui siht on jätkata mööda Räägu tänavat!",,1535722886000,0,,be929865-b2fe-4d10-bdd8-48929068f044,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7102130503155,59.4164919916944
116,"Vahel lähen rattaga poodi. Siis sõidan vastassuunavööndis, sest kõnnitee lõpeb täiesti lolli koha peal, aga õnneks on sinna samma tehtud parkimiskohad, mida keegi ei kasuta. Seega tehke siia kõnnitee!!!",,1535722886000,2,,a911ae6c-e573-4a44-8f2c-a6b196b4f8a7,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7240869445264,59.4248979474951
117,,,1535722886000,0,,2d20f833-980d-4212-a55e-617a2bf21dcf,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7258387748685,59.42442277612
118,"Kõnnitee teeb järsu pöörde, seal võiks olla kõnnitee, asfaldi serv on kõrge.",,1535722886000,0,,98236f4c-c001-4ebb-8bcd-ed2f9194ee07,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7221489330104,59.4251674815382
119,"Õhtul tulen linnast töölt, rikun liikluseeskirju, sest sõidan autoteel, SEST MUJALE ei mahu. PALUN tehke Väike-Ameerikasse ratturitele võimalus liikuda ka linnast Kristiine poole.",,1535722886000,2,,046a5bdc-80d5-43ca-9417-cdee2e238f26,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7297575036149,59.4250186406364
120,Siledaim teeületus Tallinnas,,1535723253000,2,,61b272dc-a9f7-404a-aba2-e8e1df95b453,https://services3.arcgis.com/FwX2qF9JecNSRnwr/arcgis/rest/services/rattateede_andmekorje_punktid/FeatureServer/0/120/attachments/16?token=,1539347645000,TallinnGIS,1539348088000,,24.7777420429985,59.4364851177905
121,"Taavi Aas võiks siin üritada rattaga otse sõita. Garanteerin, et ta hakkaks ropult vanudma, kui ta peab mööduma Juhkentali pööravatest autodest, et jätkata Liivalaiat mööda liikumist. Palun mõelge siia mingi vähem ohtlik lahendus välja!",,1535722886000,2,,3be1171a-16de-49d5-bba2-9e390f8ffe35,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7560891471023,59.4292568909799
122,Mulle meeldib oodata jalakäijate foori taga. (Iroonia.) PALUN tehke see foor samasuguseks nagu Hobujaama ristmik. Nagunii jooksevad kõik punasega üle.,,1535722886000,2,,f82c6f3f-2806-45eb-aba0-f83646e77fc1,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7630900789084,59.4327578128698
123,"Päris naljakas... Rootsis saaks Stockmann sellise lahenduse eest avalikult sõimata, Eestis ukerdavad inimesed nohisedes mööda tõkkepuust ja siis üle ära lõppeva kõnnitee kõrge ääre, et siis autode eest läbi trügida ja elusalt Maakri tänavale jõuda.",,1535722886000,2,,eb714207-6ada-4cb0-9d72-10461567d858,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7605346476106,59.4314781551655
124,"Tehke nii, et lamav politseinik oleks kasutatav kõnniteena. Praegu kaob kõnnitee maja nr 33 ja 35 vahel ära. Või laske äärekivi alla vms.",,1535722886000,2,,13d87d97-f22e-4d5f-b056-fddc5440a696,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7497395104505,59.4413952026745
125,,,1535722886000,0,,3688afee-34dc-479a-988a-34de37c368bd,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7500935676664,59.4416972010347
126,"Palun pange siia kivid või tooge kruusa juurde, vihmase ilmaga on lombid nagu järved.",,1535722886000,2,,6aba5be5-de54-4012-9b70-9aa49a4edfd4,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7506228378537,59.4422262107354
127,"Kuulge, see puudevaheline asfalt on siin kuumaastik kuni Bali jaamani. Miks te seda ei võinud korda teha nagu Paksu Margareeta juurest Soo tänava alguseni?!",,1535722886000,1,,29a7cab5-a0a0-4f34-bcdc-c773aac95228,,1539347645000,TallinnGIS,1539347645000,TallinnGIS,24.7432656193159,59.4434147679784
